"","ID","Location","R","D","H","complexity.D"
"1","1_North","N",1.60586282923714,2.77469741645449,0.337896525859833,"H"
"2","10_North","N",1.45128183388923,2.7144595858629,0.219688594341278,"L"
"3","11_North","N",1.22560610525817,2.8386416569089,0.107443690299988,"H"
"4","12_North","N",1.35843970571068,2.82838951084947,0.140862703323364,"H"
"5","13_North","N",1.74507164950468,2.63375196768756,0.349472343921661,"L"
"6","14_North","N",1.51618721595151,2.69432727275817,0.269281566143036,"L"
"7","15_North","N",1.37812395968371,2.86896694682518,0.146170377731323,"H"
"8","16_North","N",1.70260437179225,2.78043418240797,0.26660829782486,"H"
"9","17_North","N",1.69746448897316,2.87875916399943,0.211854994297028,"H"
"10","18_North","N",1.21080762648379,2.74583098649628,0.114584267139435,"L"
"11","19_North","N",1.38695121701228,2.80934133511499,0.163541376590729,"H"
"12","2_North","N",1.80596919912953,2.71328085215047,0.316642820835114,"L"
"13","20_North","N",1.45196992462226,2.84934279325457,0.164970934391022,"H"
"14","21_North","N",1.56246585696108,2.719578846478,0.256506204605103,"L"
"15","22_North","N",1.58017584512287,2.773402465371,0.207284688949585,"H"
"16","23_North","N",1.49531110782146,2.80453903180501,0.191222131252289,"H"
"17","24_North","N",1.48653068532766,2.71631630851289,0.245066106319427,"L"
"18","25_North","N",1.31210112859491,2.82288303984076,0.116750478744507,"H"
"19","26_North","N",1.5077543079584,2.78920750490546,0.232540249824524,"H"
"20","27_North","N",1.31024194272556,2.88126657075492,0.110914826393127,"H"
"21","28_North","N",1.48793253581502,2.78470614370098,0.211702346801758,"H"
"22","29_North","N",1.44297743697835,2.82796640410624,0.159659504890442,"H"
"23","3_North","N",1.22506974955953,2.72597160473731,0.134909749031067,"L"
"24","30_North","N",1.3516694006308,2.88610128407917,0.12054181098938,"H"
"25","4_North","N",1.58368003112207,2.84936511021029,0.182661354541779,"H"
"26","5_North","N",1.51925560424268,2.80151917577723,0.203828632831573,"H"
"27","6_North","N",1.61722058057648,2.72465456853423,0.246320366859436,"L"
"28","7_North","N",1.51470670650382,2.87052024145218,0.164578437805176,"H"
"29","8_North","N",1.31591307414071,2.71796691687243,0.150710344314575,"L"
"30","9_North","N",1.77879717536785,2.77191755049589,0.300357460975647,"H"
"31","1_South","S",1.6509008435065,2.67387343163771,0.371843874454498,"L"
"32","10_South","S",1.23661455982537,2.71034358776585,0.155346393585205,"L"
"33","11_South","S",1.25079341224339,2.66878489327438,0.179940700531006,"L"
"34","12_South","S",1.21139214959686,2.6900023979023,0.146672010421753,"L"
"35","13_South","S",1.26258609564583,2.65336530246172,0.207149267196655,"L"
"36","14_South","S",1.06799032565282,2.66946127844916,0.0913354158401489,"L"
"37","15_South","S",1.07897073827073,2.74525164241163,0.0775899887084961,"L"
"38","16_South","S",1.29023434512036,2.83215582201289,0.133846282958984,"H"
"39","17_South","S",1.15103051825699,2.67169816416961,0.128220736980438,"L"
"40","18_South","S",1.16880567881089,2.77522561993622,0.111015915870667,"H"
"41","19_South","S",1.21377154307296,2.81302685345954,0.123464405536652,"H"
"42","2_South","S",1.66233755028259,2.73194490517769,0.283667951822281,"L"
"43","20_South","S",1.17984905920018,2.7633413264707,0.125442087650299,"L"
"44","21_South","S",1.24203838898634,2.67295316554725,0.136539101600647,"L"
"45","22_South","S",1.10791258694206,2.72261057865705,0.0992412567138672,"L"
"46","23_South","S",1.25223723391675,2.81528714743237,0.112874150276184,"H"
"47","24_South","S",1.14474073971241,2.58319539827633,0.16125476360321,"L"
"48","25_South","S",1.19827625302243,2.86033444731802,0.102830648422241,"H"
"49","26_South","S",1.12287319663522,2.79814852112564,0.0999413728713989,"H"
"50","27_South","S",1.18369231853794,2.86737976698036,0.0931351184844971,"H"
"51","28_South","S",1.21625959223585,2.57760154919427,0.221301317214966,"L"
"52","29_South","S",1.14709269100864,2.86935738073929,0.0821388959884644,"H"
"53","3_South","S",1.65655550543222,2.64918094583454,0.327259302139282,"L"
"54","30_South","S",1.55283020808914,2.62718184952206,0.3468918800354,"L"
"55","31_South","S",1.15422333902195,2.67306593175584,0.13605797290802,"L"
"56","32_South","S",1.56680630393661,2.88688729864528,0.160832345485687,"H"
"57","33_South","S",1.30447084568169,2.88862311399881,0.122060477733612,"H"
"58","34_South","S",1.23305131782644,2.93912797180528,0.0799973011016846,"H"
"59","35_South","S",1.2878602249635,2.82924980018216,0.114709317684174,"H"
"60","36_South","S",1.11751558915999,2.7921874477881,0.0841330885887146,"H"
"61","4_South","S",1.51672606330412,2.63306970514025,0.305754005908966,"L"
"62","5_South","S",1.68853205183637,2.80210206062913,0.224905997514725,"H"
"63","6_South","S",1.5085504512677,2.77318768720485,0.209704726934433,"H"
"64","7_South","S",1.26417576573517,2.79922769524873,0.1341792345047,"H"
"65","8_South","S",1.55575057743607,2.68401957171064,0.283694505691528,"L"
"66","9_South","S",1.68786013808426,2.72351912757599,0.300211429595947,"L"
