"","ID","R","D","H","label"
"1","1_South",1.6509008435065,2.67387343163771,0.371843874454498,"L"
"2","10_South",1.23661455982537,2.71034358776585,0.155346393585205,"L"
"3","11_South",1.25079341224339,2.66878489327438,0.179940700531006,"L"
"4","12_South",1.21139214959686,2.6900023979023,0.146672010421753,"L"
"5","13_South",1.26258609564583,2.65336530246172,0.207149267196655,"L"
"6","14_South",1.06799032565282,2.66946127844916,0.0913354158401489,"L"
"7","15_South",1.07897073827073,2.74525164241163,0.0775899887084961,"L"
"8","16_South",1.29023434512036,2.83215582201289,0.133846282958984,"H"
"9","17_South",1.15103051825699,2.67169816416961,0.128220736980438,"L"
"10","18_South",1.16880567881089,2.77522561993622,0.111015915870667,"H"
"11","19_South",1.21377154307296,2.81302685345954,0.123464405536652,"H"
"12","2_South",1.66233755028259,2.73194490517769,0.283667951822281,"L"
"13","20_South",1.17984905920018,2.7633413264707,0.125442087650299,"H"
"14","21_South",1.24203838898634,2.67295316554725,0.136539101600647,"L"
"15","22_South",1.10791258694206,2.72261057865705,0.0992412567138672,"L"
"16","23_South",1.25223723391675,2.81528714743237,0.112874150276184,"H"
"17","24_South",1.14474073971241,2.58319539827633,0.16125476360321,"L"
"18","25_South",1.19827625302243,2.86033444731802,0.102830648422241,"H"
"19","26_South",1.12287319663522,2.79814852112564,0.0999413728713989,"H"
"20","27_South",1.18369231853794,2.86737976698036,0.0931351184844971,"H"
"21","28_South",1.21625959223585,2.57760154919427,0.221301317214966,"L"
"22","29_South",1.14709269100864,2.86935738073929,0.0821388959884644,"H"
"23","3_South",1.65655550543222,2.64918094583454,0.327259302139282,"L"
"24","30_South",1.55283020808914,2.62718184952206,0.3468918800354,"L"
"25","31_South",1.15422333902195,2.67306593175584,0.13605797290802,"L"
"26","32_South",1.56680630393661,2.88688729864528,0.160832345485687,"H"
"27","33_South",1.30447084568169,2.88862311399881,0.122060477733612,"H"
"28","34_South",1.23305131782644,2.93912797180528,0.0799973011016846,"H"
"29","35_South",1.2878602249635,2.82924980018216,0.114709317684174,"H"
"30","36_South",1.11751558915999,2.7921874477881,0.0841330885887146,"H"
"31","4_South",1.51672606330412,2.63306970514025,0.305754005908966,"L"
"32","5_South",1.68853205183637,2.80210206062913,0.224905997514725,"H"
"33","6_South",1.5085504512677,2.77318768720485,0.209704726934433,"H"
"34","7_South",1.26417576573517,2.79922769524873,0.1341792345047,"H"
"35","8_South",1.55575057743607,2.68401957171064,0.283694505691528,"L"
"36","9_South",1.68786013808426,2.72351912757599,0.300211429595947,"L"
